id,name,party,chamber,state,district,start,end
S000890,Adlai Stevenson,Democrat,sen,IL,N/A,1975-01-14,1981-01-03
T000099,Roy Taylor,Democrat,rep,NC,11,1975-01-14,1977-01-03
B001092,James Burke,Democrat,rep,MA,11,1977-01-04,1979-01-03
B001111,Omar Burleson,Democrat,rep,TX,17,1977-01-04,1979-01-03
B001209,Harry Byrd,Independent,sen,VA,N/A,1977-01-04,1983-01-03
C000476,Delwin Clawson,Republican,rep,CA,33,1977-01-04,1979-01-03
D000211,James Delaney,Democrat,rep,NY,9,1977-01-04,1979-01-03
D000255,John Dent,Democrat,rep,PA,21,1977-01-04,1979-01-03
E000240,Frank Evans,Democrat,rep,CO,3,1977-01-04,1979-01-03
F000229,John Flynt,Democrat,rep,GA,6,1977-01-04,1979-01-03
H000230,Michael Harrington,Democrat,rep,MA,6,1977-01-04,1979-01-03
H000384,Samuel Hayakawa,Republican,sen,CA,N/A,1977-01-04,1983-01-03
J000266,Barbara Jordan,Democrat,rep,TX,18,1977-01-04,1979-01-03
L000221,Robert Leggett,Democrat,rep,CA,4,1977-01-04,1979-01-03
M000065,George Mahon,Democrat,rep,TX,19,1977-01-04,1979-01-03
M000105,James Mann,Democrat,rep,SC,4,1977-01-04,1979-01-03
M000626,Lloyd Meeds,Democrat,rep,WA,2,1977-01-04,1979-01-03
M001035,John Moss,Democrat,rep,CA,3,1977-01-04,1979-01-03
M001128,Gary Myers,Republican,rep,PA,25,1977-01-04,1979-01-03
P000398,William Poage,Democrat,rep,TX,11,1977-01-04,1979-01-03
P000273,Shirley Pettis,Republican,rep,CA,37,1977-01-04,1979-01-03
R000401,Paul Rogers,Democrat,rep,FL,11,1977-01-04,1979-01-03
R000421,Teno Roncalio,Democrat,rep,WY,N/A,1977-01-04,1979-01-03
R000512,Philip Ruppe,Republican,rep,MI,11,1977-01-04,1979-01-03
S000406,Robert Sikes,Democrat,rep,FL,1,1977-01-04,1979-01-03
S000367,George Shipley,Democrat,rep,IL,22,1977-01-04,1979-01-03
S000454,Bernice Sisk,Democrat,rep,CA,15,1977-01-04,1979-01-03
S000472,Joe Skubitz,Republican,rep,KS,5,1977-01-04,1979-01-03
T000110,Olin Teague,Democrat,rep,TX,6,1977-01-04,1979-01-03
W000018,Joseph Waggonner,Democrat,rep,LA,4,1977-01-04,1979-01-03
W000107,William Walsh,Republican,rep,NY,33,1977-01-04,1979-01-03
W000448,Charles Wiggins,Republican,rep,CA,39,1977-01-04,1979-01-03
W000317,Charles Whalen,Republican,rep,OH,3,1977-01-04,1979-01-03
C000201,Tim Carter,Republican,rep,KY,5,1979-01-15,1981-01-03
C000261,John Cavanaugh,Democrat,rep,NE,2,1979-01-15,1981-01-03
C000512,James Cleveland,Republican,rep,NH,2,1979-01-15,1981-01-03
D000125,Mendel Davis,Democrat,rep,SC,1,1979-01-15,1981-01-03
D000499,Robert Drinan,Democrat,rep,MA,4,1979-01-15,1981-01-03
D000537,Robert Duncan,Democrat,rep,OR,3,1979-01-15,1981-01-03
G000151,Robert Giaimo,Democrat,rep,CT,3,1979-01-15,1981-01-03
H000158,James Hanley,Democrat,rep,NY,32,1979-01-15,1981-01-03
H000281,William Harsha,Republican,rep,OH,6,1979-01-15,1981-01-03
I000001,Richard Ichord,Democrat,rep,MO,8,1979-01-15,1981-01-03
J000148,James Johnson,Republican,rep,CO,4,1979-01-15,1981-01-03
